name,name_simple,name_arabic,revelation_order,revelation_place,verses_count,bismillah_pre
Ash-Shams,Ash-Shams,الشمس,"26",makkah,"15","1"
Al-Layl,Al-Layl,الليل,"9",makkah,"21","1"
Ađ-Đuĥaá,Ad-Duhaa,الضحى,"11",makkah,"11","1"
Ash-Sharĥ,Ash-Sharh,الشرح,"12",makkah,"8","1"
At-Tīn,At-Tin,التين,"28",makkah,"8","1"
Al-`Alaq,Al-'Alaq,العلق,"1",makkah,"19","1"
Al-Qadr,Al-Qadr,القدر,"25",makkah,"5","1"
Al-Bayyinah,Al-Bayyinah,البينة,"100",madinah,"8","1"
Az-Zalzalah,Az-Zalzalah,الزلزلة,"93",madinah,"8","1"
Al-`Ādiyāt,Al-'Adiyat,العاديات,"14",makkah,"11","1"
Al-Qāri`ah,Al-Qari'ah,القارعة,"30",makkah,"11","1"
At-Takāthur,At-Takathur,التكاثر,"16",makkah,"8","1"
Al-`Aşr,Al-'Asr,العصر,"13",makkah,"3","1"
Al-Humazah,Al-Humazah,الهمزة,"32",makkah,"9","1"
Al-Fīl,Al-Fil,الفيل,"19",makkah,"5","1"
Quraysh,Quraysh,قريش,"29",makkah,"4","1"
Al-Mā`ūn,Al-Ma'un,الماعون,"17",makkah,"7","1"
Al-Kawthar,Al-Kawthar,الكوثر,"15",makkah,"3","1"
Al-Kāfirūn,Al-Kafirun,الكافرون,"18",makkah,"6","1"
An-Naşr,An-Nasr,النصر,"114",madinah,"3","1"
Al-Masad,Al-Masad,المسد,"6",makkah,"5","1"
Al-'Ikhlāş,Al-Ikhlas,الإخلاص,"22",makkah,"4","1"
Al-Falaq,Al-Falaq,الفلق,"20",makkah,"5","1"
An-Nās,An-Nas,الناس,"21",makkah,"6","1"
